,tweet_created_at,tweet_full_text,text_clean
1291,Fri Sep 07 16:25:06 +0000 2018,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6,done is better than perfect sheryl sandberg quot motiv justdoit url
4748,Fri Sep 07 16:24:59 +0000 2018,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo",shout out to the great fire depart and the tour much love to nyc hero fdni likesforlik promo music instagood instadaili postoftheday bestoftheday justdoit nike picoftheday url
3690,Fri Sep 07 16:24:50 +0000 2018,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M",there are some amazingli hilari nike ad meme happen on my newsfe soo i decid to get a littl creativ too justdoit url
4797,Fri Sep 07 16:24:44 +0000 2018,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU,kapernickeffect swoosh justdoit luca bishop cigar loung url
3966,Fri Sep 07 16:24:39 +0000 2018,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7",one hand one dream the shaquem griffin stori url shaquem nfl seattl seahawk griffin justdoit nike url
27,Fri Sep 07 16:24:35 +0000 2018,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT,user_ment it time for me to stock up on some new run apparel nike it is justdoit
1801,Fri Sep 07 16:24:24 +0000 2018,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH,whi wont trump protect our elect think it over registertovot vote justdoit url
2176,Fri Sep 07 16:24:13 +0000 2018,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt",user_ment good job on shake the whole world i see what you did there million and million of dollar worth of free advertis justdoit
1565,Fri Sep 07 16:24:09 +0000 2018,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ,great way to meet good peopl wear your nike gear in the park thank user_ment user_ment user_ment justdoit takeakne takeakneeinnik url
762,Fri Sep 07 16:23:51 +0000 2018,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq",and succeed with icm pleas retweet fx feelgoodfriday fridayfeel tradermoni justdoit fridaymotiv url
3181,Fri Sep 07 16:23:41 +0000 2018,My favorites so far #JustDoIt https://t.co/zY7VDa5Q0X,my favorit so far justdoit url
4317,Fri Sep 07 16:23:40 +0000 2018,"Colin Kaepernick's business partner @Nike sends millions of dollars to groups which target black lives for gruesome deaths domestically and abroad. #NikeBoycott #JustDoIt

https://t.co/abSV7fP7YN",colin kaepernick busi partner user_ment send million of dollar to group which target black live for gruesom death domest and abroad nikeboycott justdoit url
3508,Fri Sep 07 16:23:37 +0000 2018,@CSPensions Why be a cat when you can be a lion. #JustDoIt  ;),user_ment whi be a cat when you can be a lion justdoit emo_po
759,Fri Sep 07 16:23:30 +0000 2018,"@realDonaldTrump They were thinking history will judge the treatment of @ColinKaperneck7 and will come out on his side, they decided to lead! #JustDoIt",user_ment they were think histori will judg the treatment of user_ment and will come out on hi side they decid to lead justdoit
4721,Fri Sep 07 16:23:27 +0000 2018,@RepAdamSchiff Go ahead @RepAdamSchiff   #JustDoIt #SpartacAssJr,user_ment go ahead user_ment justdoit spartacassjr
885,Fri Sep 07 16:23:21 +0000 2018,Why be a cat when you can be a lion. #JustDoIt https://t.co/vPOkgfchFR,whi be a cat when you can be a lion justdoit url
4311,Fri Sep 07 16:23:17 +0000 2018,#socialism be like me and #JustDoIt because ya know it like works and stuff I mean come on it’s like the greatest thing ever I mean like duh ....🤔🙄😳...#Truth #kaga2018 #kag2020 #Maga #FakeNews https://t.co/FsJZyVC98J,social be like me and justdoit becaus ya know it like work and stuff i mean come on like the greatest thing ever i mean like duh truth kaga2018 kag2020 maga fakenew url
2520,Fri Sep 07 16:23:09 +0000 2018,"Hey @Nike I stood for our country. I served my nation and that flag you're so enthused to kneel for. I stood for something, gave up everything. You want to impress me? Hire a real man for your ads. Hire a marine not a bitchy millionaire. He gave up nothing.  #JustDoIt",hey user_ment i stood for our countri i serv my nation and that flag your so enthus to kneel for i stood for someth gave up everyth you want to impress me hire a real man for your ad hire a marin not a bitchi millionair he gave up noth justdoit
2608,Fri Sep 07 16:23:02 +0000 2018,"I’ve seen a lot of memes re #JustDoIt but this particular one struck me.......haunting. 

For me, this speaks to how far the Left will go to undermine @realDonaldTrump &amp; the will of true American Patriots. 

Let’s do our job to help @POTUS 

#VoteRedToSaveAmerica #VoteRed2018 https://t.co/rm7XBt3W9l",seen a lot of meme re justdoit but thi particular one struck me haunt for me thi speak to how far the left will go to undermin user_ment the will of true american patriot do our job to help user_ment voteredtosaveamerica votered2018 url
2254,Fri Sep 07 16:22:55 +0000 2018,Abortion stops a beating heart. Just imagine all the lives we can save if we get #Kavanaugh on the court. Democrats should be eager to confirm him for the sake of our children. #justdoit,abort stop a beat heart just imagin all the live we can save if we get kavanaugh on the court democrat should be eager to confirm him for the sake of our children justdoit
2484,Fri Sep 07 16:22:41 +0000 2018,@Nike My favorite Nike commercial ever!! #JustDoIt,user_ment my favorit nike commerci ever justdoit
4961,Fri Sep 07 16:22:19 +0000 2018,Modeling is more than just runway and clothes for me. It’s a daily way of life to be an example when I step out the door and into any room. Happy Friday! #nike #kaepernick7 #justdoit @Kaepernick7 @Nike @nikesportswear @nikewomen #FridayFeeling #FridayMotivation https://t.co/YwvMNYONMB,model is more than just runway and cloth for me a daili way of life to be an exampl when i step out the door and into ani room happi friday nike kaepernick7 justdoit user_ment user_ment user_ment user_ment fridayfeel fridaymotiv url
1307,Fri Sep 07 16:21:55 +0000 2018,You are never too broke to shop your favourite fashion brands when they are at #Discounts365days #JustDoIt https://t.co/hwlxCLesVg,you are never too broke to shop your favourit fashion brand when they are at discounts365day justdoit url
892,Fri Sep 07 16:21:54 +0000 2018,My kinda Lady ... #Justdoit #Nike !!! https://t.co/GIFmg85rAm,my kinda ladi justdoit nike url
2442,Fri Sep 07 16:21:41 +0000 2018,Dream Big &amp; #Justdoit! https://t.co/Vr4GIyGsoj,dream big justdoit url
4800,Fri Sep 07 16:21:39 +0000 2018,"Hey!!!! go check this video out !!! It’s a lot of fun and cute #newyoutubers 
#relationshipgoals 
#JustDoIt. Just click the link and subscribe 🧡
https://t.co/W7JhYpHtXL https://t.co/ltUmnsCxxZ",hey go check thi video out a lot of fun and cute newyoutub relationshipgo justdoit just click the link and subscrib url url
1369,Fri Sep 07 16:21:28 +0000 2018,Nike got $43 million of free press in the 24 hours after #JustDoIt campaign. It pays to put your balls on the line.,nike got million of free press in the hour after justdoit campaign it pay to put your ball on the line
